x,y,id,timestamp
332.0,468.0,2-2,2023-01-23 09:04:56.153990
333.0,469.0,2-2,2023-01-23 09:04:56.158781
331.0,470.0,2-2,2023-01-23 09:04:56.188630
332.0,470.0,2-2,2023-01-23 09:04:56.195226
332.0,469.0,2-2,2023-01-23 09:04:56.221690
332.0,469.0,2-2,2023-01-23 09:04:56.227672
331.0,469.0,2-2,2023-01-23 09:04:56.232185
332.0,469.0,2-2,2023-01-23 09:04:56.235916
332.0,469.0,2-2,2023-01-23 09:04:56.241216
332.0,470.0,2-2,2023-01-23 09:04:56.248839
332.0,470.0,2-2,2023-01-23 09:04:56.253343
332.0,470.0,2-2,2023-01-23 09:04:56.282275
333.0,470.0,2-2,2023-01-23 09:04:56.301582
333.0,472.0,2-2,2023-01-23 09:04:56.305472
332.0,470.0,2-2,2023-01-23 09:04:56.310607
332.0,470.0,2-2,2023-01-23 09:04:56.317489
332.0,470.0,2-2,2023-01-23 09:04:56.321879
333.0,469.0,2-2,2023-01-23 09:04:56.330236
332.0,470.0,2-2,2023-01-23 09:04:56.334295
333.0,470.0,2-2,2023-01-23 09:04:56.342122
332.0,470.0,2-2,2023-01-23 09:04:56.346651
333.0,469.0,2-2,2023-01-23 09:04:56.351683
333.0,470.0,2-2,2023-01-23 09:04:56.358022
333.0,470.0,2-2,2023-01-23 09:04:56.362847
337.0,397.0,3-2,2023-01-23 09:04:56.425980
348.0,388.0,3-2,2023-01-23 09:04:56.433621
358.0,383.0,3-2,2023-01-23 09:04:56.444173
376.0,373.0,3-2,2023-01-23 09:04:56.452553
401.0,356.0,3-2,2023-01-23 09:04:56.455925
403.0,353.0,3-2,2023-01-23 09:04:56.471316
414.0,351.0,3-2,2023-01-23 09:04:56.483377
420.0,346.0,3-2,2023-01-23 09:04:56.494921
434.0,341.0,3-2,2023-01-23 09:04:56.497305
451.0,334.0,3-2,2023-01-23 09:04:56.505801
468.0,330.0,3-2,2023-01-23 09:04:56.512909
482.0,325.0,3-2,2023-01-23 09:04:56.525952
486.0,308.0,3-2,2023-01-23 09:04:56.529245
526.0,320.0,3-2,2023-01-23 09:04:56.532304
540.0,319.0,3-2,2023-01-23 09:04:56.535883
557.0,324.0,3-2,2023-01-23 09:04:56.540063
583.0,334.0,3-2,2023-01-23 09:04:56.543882
593.0,338.0,3-2,2023-01-23 09:04:56.549304
607.0,348.0,3-2,2023-01-23 09:04:56.554749
622.0,362.0,3-2,2023-01-23 09:04:56.560280
627.0,368.0,3-2,2023-01-23 09:04:56.563994
642.0,378.0,3-2,2023-01-23 09:04:56.568988
653.0,394.0,3-2,2023-01-23 09:04:56.573742
323.0,478.0,2-2,2023-01-23 09:04:56.600782
329.0,470.0,2-2,2023-01-23 09:04:56.607538
332.0,468.0,2-2,2023-01-23 09:04:56.611988
333.0,469.0,2-2,2023-01-23 09:04:56.613720
331.0,470.0,2-2,2023-01-23 09:04:56.615490
332.0,470.0,2-2,2023-01-23 09:04:56.617084
332.0,469.0,2-2,2023-01-23 09:04:56.620731
332.0,469.0,2-2,2023-01-23 09:04:56.623884
331.0,469.0,2-2,2023-01-23 09:04:56.626467
332.0,469.0,2-2,2023-01-23 09:04:56.630397
332.0,469.0,2-2,2023-01-23 09:04:56.633303
332.0,470.0,2-2,2023-01-23 09:04:56.643673
332.0,470.0,2-2,2023-01-23 09:04:56.649927
332.0,470.0,2-2,2023-01-23 09:04:56.651291
333.0,470.0,2-2,2023-01-23 09:04:56.652981
333.0,472.0,2-2,2023-01-23 09:04:56.655489
332.0,470.0,2-2,2023-01-23 09:04:56.668006
332.0,470.0,2-2,2023-01-23 09:04:56.691098
332.0,470.0,2-2,2023-01-23 09:04:56.693839
333.0,469.0,2-2,2023-01-23 09:04:56.695066
332.0,470.0,2-2,2023-01-23 09:04:56.696204
333.0,470.0,2-2,2023-01-23 09:04:56.714523
332.0,470.0,2-2,2023-01-23 09:04:56.716135
333.0,469.0,2-2,2023-01-23 09:04:56.717456
333.0,470.0,2-2,2023-01-23 09:04:56.735857
333.0,470.0,2-2,2023-01-23 09:04:56.738060
333.0,470.0,2-2,2023-01-23 09:04:56.741563
337.0,397.0,3-2,2023-01-23 09:04:56.743347
348.0,388.0,3-2,2023-01-23 09:04:56.792617
358.0,383.0,3-2,2023-01-23 09:04:56.794521
376.0,373.0,3-2,2023-01-23 09:04:56.795849
401.0,356.0,3-2,2023-01-23 09:04:56.797210
403.0,353.0,3-2,2023-01-23 09:04:56.811312
414.0,351.0,3-2,2023-01-23 09:04:56.813767
420.0,346.0,3-2,2023-01-23 09:04:56.815102
434.0,341.0,3-2,2023-01-23 09:04:56.821180
451.0,334.0,3-2,2023-01-23 09:04:56.850892
468.0,330.0,3-2,2023-01-23 09:04:56.854393
482.0,325.0,3-2,2023-01-23 09:04:56.859066
486.0,308.0,3-2,2023-01-23 09:04:56.866942
526.0,320.0,3-2,2023-01-23 09:04:56.875283
540.0,319.0,3-2,2023-01-23 09:04:56.887224
557.0,324.0,3-2,2023-01-23 09:04:56.893452
583.0,334.0,3-2,2023-01-23 09:04:56.900328
593.0,338.0,3-2,2023-01-23 09:04:56.911876
607.0,348.0,3-2,2023-01-23 09:04:56.914516
622.0,362.0,3-2,2023-01-23 09:04:56.917873
627.0,368.0,3-2,2023-01-23 09:04:56.927955
642.0,378.0,3-2,2023-01-23 09:04:56.931184
653.0,394.0,3-2,2023-01-23 09:04:56.936181
659.0,402.0,3-2,2023-01-23 09:04:56.944606
323.0,478.0,2-2,2023-01-23 09:04:56.974162
329.0,470.0,2-2,2023-01-23 09:04:56.976327
332.0,468.0,2-2,2023-01-23 09:04:56.995760
333.0,469.0,2-2,2023-01-23 09:04:56.999478
331.0,470.0,2-2,2023-01-23 09:04:57.013286
332.0,470.0,2-2,2023-01-23 09:04:57.021568
332.0,469.0,2-2,2023-01-23 09:04:57.025422
332.0,469.0,2-2,2023-01-23 09:04:57.027865
331.0,469.0,2-2,2023-01-23 09:04:57.044289
332.0,469.0,2-2,2023-01-23 09:04:57.045912
332.0,469.0,2-2,2023-01-23 09:04:57.047179
332.0,470.0,2-2,2023-01-23 09:04:57.049243
332.0,470.0,2-2,2023-01-23 09:04:57.059652
332.0,470.0,2-2,2023-01-23 09:04:57.066282
333.0,470.0,2-2,2023-01-23 09:04:57.070843
333.0,472.0,2-2,2023-01-23 09:04:57.074727
332.0,470.0,2-2,2023-01-23 09:04:57.081156
332.0,470.0,2-2,2023-01-23 09:04:57.083850
332.0,470.0,2-2,2023-01-23 09:04:57.087770
333.0,469.0,2-2,2023-01-23 09:04:57.092967
332.0,470.0,2-2,2023-01-23 09:04:57.096713
333.0,470.0,2-2,2023-01-23 09:04:57.100109
332.0,470.0,2-2,2023-01-23 09:04:57.105385
333.0,469.0,2-2,2023-01-23 09:04:57.111597
333.0,470.0,2-2,2023-01-23 09:04:57.113936
333.0,470.0,2-2,2023-01-23 09:04:57.117002
333.0,470.0,2-2,2023-01-23 09:04:57.120761
333.0,471.0,2-2,2023-01-23 09:04:57.123874
333.0,471.0,2-2,2023-01-23 09:04:57.127366
337.0,397.0,3-2,2023-01-23 09:04:57.132611
348.0,388.0,3-2,2023-01-23 09:04:57.135946
358.0,383.0,3-2,2023-01-23 09:04:57.142729
376.0,373.0,3-2,2023-01-23 09:04:57.149677
401.0,356.0,3-2,2023-01-23 09:04:57.152277
403.0,353.0,3-2,2023-01-23 09:04:57.158438
414.0,351.0,3-2,2023-01-23 09:04:57.166045
420.0,346.0,3-2,2023-01-23 09:04:57.180483
434.0,341.0,3-2,2023-01-23 09:04:57.182160
451.0,334.0,3-2,2023-01-23 09:04:57.184613
468.0,330.0,3-2,2023-01-23 09:04:57.187539
482.0,325.0,3-2,2023-01-23 09:04:57.195416
486.0,308.0,3-2,2023-01-23 09:04:57.199960
526.0,320.0,3-2,2023-01-23 09:04:57.203409
540.0,319.0,3-2,2023-01-23 09:04:57.209845
557.0,324.0,3-2,2023-01-23 09:04:57.215915
583.0,334.0,3-2,2023-01-23 09:04:57.237630
593.0,338.0,3-2,2023-01-23 09:04:57.245103
607.0,348.0,3-2,2023-01-23 09:04:57.251212
622.0,362.0,3-2,2023-01-23 09:04:57.258787
627.0,368.0,3-2,2023-01-23 09:04:57.267531
642.0,378.0,3-2,2023-01-23 09:04:57.275805
653.0,394.0,3-2,2023-01-23 09:04:57.281374
659.0,402.0,3-2,2023-01-23 09:04:57.285596
671.0,417.0,3-2,2023-01-23 09:04:57.293108
681.0,434.0,3-2,2023-01-23 09:04:57.297258
323.0,478.0,2-2,2023-01-23 09:04:57.323965
329.0,470.0,2-2,2023-01-23 09:04:57.333142
332.0,468.0,2-2,2023-01-23 09:04:57.349902
333.0,469.0,2-2,2023-01-23 09:04:57.352208
331.0,470.0,2-2,2023-01-23 09:04:57.354620
332.0,470.0,2-2,2023-01-23 09:04:57.375591
332.0,469.0,2-2,2023-01-23 09:04:57.386834
332.0,469.0,2-2,2023-01-23 09:04:57.393110
331.0,469.0,2-2,2023-01-23 09:04:57.400047
332.0,469.0,2-2,2023-01-23 09:04:57.417127
332.0,469.0,2-2,2023-01-23 09:04:57.425764
332.0,470.0,2-2,2023-01-23 09:04:57.429005
332.0,470.0,2-2,2023-01-23 09:04:57.431903
332.0,470.0,2-2,2023-01-23 09:04:57.439336
333.0,470.0,2-2,2023-01-23 09:04:57.447017
333.0,472.0,2-2,2023-01-23 09:04:57.453415
332.0,470.0,2-2,2023-01-23 09:04:57.459201
332.0,470.0,2-2,2023-01-23 09:04:57.462840
332.0,470.0,2-2,2023-01-23 09:04:57.470275
333.0,469.0,2-2,2023-01-23 09:04:57.476879
332.0,470.0,2-2,2023-01-23 09:04:57.490146
333.0,470.0,2-2,2023-01-23 09:04:57.500742
332.0,470.0,2-2,2023-01-23 09:04:57.506134
333.0,469.0,2-2,2023-01-23 09:04:57.515743
333.0,470.0,2-2,2023-01-23 09:04:57.518652
333.0,470.0,2-2,2023-01-23 09:04:57.523063
333.0,470.0,2-2,2023-01-23 09:04:57.530246
333.0,471.0,2-2,2023-01-23 09:04:57.542062
333.0,471.0,2-2,2023-01-23 09:04:57.548509
333.0,471.0,2-2,2023-01-23 09:04:57.558500
333.0,471.0,2-2,2023-01-23 09:04:57.560858
337.0,397.0,3-2,2023-01-23 09:04:57.567073
348.0,388.0,3-2,2023-01-23 09:04:57.584362
358.0,383.0,3-2,2023-01-23 09:04:57.587550
376.0,373.0,3-2,2023-01-23 09:04:57.589509
401.0,356.0,3-2,2023-01-23 09:04:57.591670
403.0,353.0,3-2,2023-01-23 09:04:57.593023
414.0,351.0,3-2,2023-01-23 09:04:57.594729
420.0,346.0,3-2,2023-01-23 09:04:57.604643
434.0,341.0,3-2,2023-01-23 09:04:57.610586
451.0,334.0,3-2,2023-01-23 09:04:57.612444
468.0,330.0,3-2,2023-01-23 09:04:57.615181
482.0,325.0,3-2,2023-01-23 09:04:57.629217
486.0,308.0,3-2,2023-01-23 09:04:57.630814
526.0,320.0,3-2,2023-01-23 09:04:57.637332
540.0,319.0,3-2,2023-01-23 09:04:57.640310
557.0,324.0,3-2,2023-01-23 09:04:57.642782
583.0,334.0,3-2,2023-01-23 09:04:57.646741
593.0,338.0,3-2,2023-01-23 09:04:57.650737
607.0,348.0,3-2,2023-01-23 09:04:57.657016
622.0,362.0,3-2,2023-01-23 09:04:57.660811
627.0,368.0,3-2,2023-01-23 09:04:57.663026
642.0,378.0,3-2,2023-01-23 09:04:57.667128
653.0,394.0,3-2,2023-01-23 09:04:57.671147
659.0,402.0,3-2,2023-01-23 09:04:57.675659
671.0,417.0,3-2,2023-01-23 09:04:57.679276
681.0,434.0,3-2,2023-01-23 09:04:57.683862
690.0,448.0,3-2,2023-01-23 09:04:57.689861
700.0,467.0,3-2,2023-01-23 09:04:57.693444
323.0,478.0,2-2,2023-01-23 09:04:57.730846
329.0,470.0,2-2,2023-01-23 09:04:57.734515
332.0,468.0,2-2,2023-01-23 09:04:57.740576
333.0,469.0,2-2,2023-01-23 09:04:57.760210
331.0,470.0,2-2,2023-01-23 09:04:57.772262
332.0,470.0,2-2,2023-01-23 09:04:57.775350
332.0,469.0,2-2,2023-01-23 09:04:57.777541
332.0,469.0,2-2,2023-01-23 09:04:57.780750
331.0,469.0,2-2,2023-01-23 09:04:57.788206
332.0,469.0,2-2,2023-01-23 09:04:57.796776
332.0,469.0,2-2,2023-01-23 09:04:57.817406
332.0,470.0,2-2,2023-01-23 09:04:57.819869
332.0,470.0,2-2,2023-01-23 09:04:57.823879
332.0,470.0,2-2,2023-01-23 09:04:57.830789
333.0,470.0,2-2,2023-01-23 09:04:57.835866
333.0,472.0,2-2,2023-01-23 09:04:57.841381
332.0,470.0,2-2,2023-01-23 09:04:57.844025
332.0,470.0,2-2,2023-01-23 09:04:57.848937
332.0,470.0,2-2,2023-01-23 09:04:57.850816
333.0,469.0,2-2,2023-01-23 09:04:57.852053
332.0,470.0,2-2,2023-01-23 09:04:57.854972
333.0,470.0,2-2,2023-01-23 09:04:57.858476
332.0,470.0,2-2,2023-01-23 09:04:57.860938
333.0,469.0,2-2,2023-01-23 09:04:57.883893
333.0,470.0,2-2,2023-01-23 09:04:57.885160
333.0,470.0,2-2,2023-01-23 09:04:57.886418
333.0,470.0,2-2,2023-01-23 09:04:57.899730
333.0,471.0,2-2,2023-01-23 09:04:57.902263
333.0,471.0,2-2,2023-01-23 09:04:57.907351
333.0,471.0,2-2,2023-01-23 09:04:57.914683
333.0,471.0,2-2,2023-01-23 09:04:57.924230
333.0,471.0,2-2,2023-01-23 09:04:57.927242
334.0,471.0,2-2,2023-01-23 09:04:57.928661
337.0,397.0,3-2,2023-01-23 09:04:57.929734
348.0,388.0,3-2,2023-01-23 09:04:57.940238
358.0,383.0,3-2,2023-01-23 09:04:57.951405
376.0,373.0,3-2,2023-01-23 09:04:57.954542
401.0,356.0,3-2,2023-01-23 09:04:57.976001
403.0,353.0,3-2,2023-01-23 09:04:57.979267
414.0,351.0,3-2,2023-01-23 09:04:57.981882
420.0,346.0,3-2,2023-01-23 09:04:57.985722
434.0,341.0,3-2,2023-01-23 09:04:57.990079
451.0,334.0,3-2,2023-01-23 09:04:57.991872
468.0,330.0,3-2,2023-01-23 09:04:57.993982
482.0,325.0,3-2,2023-01-23 09:04:57.996368
486.0,308.0,3-2,2023-01-23 09:04:58.009031
526.0,320.0,3-2,2023-01-23 09:04:58.011991
540.0,319.0,3-2,2023-01-23 09:04:58.030738
557.0,324.0,3-2,2023-01-23 09:04:58.034636
583.0,334.0,3-2,2023-01-23 09:04:58.037276
593.0,338.0,3-2,2023-01-23 09:04:58.041220
607.0,348.0,3-2,2023-01-23 09:04:58.043622
622.0,362.0,3-2,2023-01-23 09:04:58.046240
627.0,368.0,3-2,2023-01-23 09:04:58.049453
642.0,378.0,3-2,2023-01-23 09:04:58.056351
653.0,394.0,3-2,2023-01-23 09:04:58.060636
659.0,402.0,3-2,2023-01-23 09:04:58.062883
671.0,417.0,3-2,2023-01-23 09:04:58.067061
681.0,434.0,3-2,2023-01-23 09:04:58.071040
690.0,448.0,3-2,2023-01-23 09:04:58.074759
700.0,467.0,3-2,2023-01-23 09:04:58.078154
699.0,471.0,3-2,2023-01-23 09:04:58.084963
709.0,492.0,3-2,2023-01-23 09:04:58.092317
323.0,478.0,2-2,2023-01-23 09:04:58.126658
329.0,470.0,2-2,2023-01-23 09:04:58.130007
332.0,468.0,2-2,2023-01-23 09:04:58.134669
333.0,469.0,2-2,2023-01-23 09:04:58.137564
331.0,470.0,2-2,2023-01-23 09:04:58.145731
332.0,470.0,2-2,2023-01-23 09:04:58.149912
332.0,469.0,2-2,2023-01-23 09:04:58.151786
332.0,469.0,2-2,2023-01-23 09:04:58.156367
331.0,469.0,2-2,2023-01-23 09:04:58.163752
332.0,469.0,2-2,2023-01-23 09:04:58.170117
332.0,469.0,2-2,2023-01-23 09:04:58.175913
332.0,470.0,2-2,2023-01-23 09:04:58.180088
332.0,470.0,2-2,2023-01-23 09:04:58.187405
332.0,470.0,2-2,2023-01-23 09:04:58.201680
333.0,470.0,2-2,2023-01-23 09:04:58.205104
333.0,472.0,2-2,2023-01-23 09:04:58.221557
332.0,470.0,2-2,2023-01-23 09:04:58.232945
332.0,470.0,2-2,2023-01-23 09:04:58.239126
332.0,470.0,2-2,2023-01-23 09:04:58.249870
333.0,469.0,2-2,2023-01-23 09:04:58.257096
332.0,470.0,2-2,2023-01-23 09:04:58.263163
333.0,470.0,2-2,2023-01-23 09:04:58.283227
332.0,470.0,2-2,2023-01-23 09:04:58.291611
333.0,469.0,2-2,2023-01-23 09:04:58.305199
333.0,470.0,2-2,2023-01-23 09:04:58.313997
333.0,470.0,2-2,2023-01-23 09:04:58.320821
333.0,470.0,2-2,2023-01-23 09:04:58.327369
333.0,471.0,2-2,2023-01-23 09:04:58.332590
333.0,471.0,2-2,2023-01-23 09:04:58.337147
333.0,471.0,2-2,2023-01-23 09:04:58.343962
333.0,471.0,2-2,2023-01-23 09:04:58.349942
333.0,471.0,2-2,2023-01-23 09:04:58.358250
334.0,471.0,2-2,2023-01-23 09:04:58.377662
334.0,471.0,2-2,2023-01-23 09:04:58.387253
334.0,471.0,2-2,2023-01-23 09:04:58.391937
337.0,397.0,3-2,2023-01-23 09:04:58.412370
348.0,388.0,3-2,2023-01-23 09:04:58.416555
358.0,383.0,3-2,2023-01-23 09:04:58.423304
376.0,373.0,3-2,2023-01-23 09:04:58.430857
401.0,356.0,3-2,2023-01-23 09:04:58.437562
403.0,353.0,3-2,2023-01-23 09:04:58.447030
414.0,351.0,3-2,2023-01-23 09:04:58.453760
420.0,346.0,3-2,2023-01-23 09:04:58.459067
434.0,341.0,3-2,2023-01-23 09:04:58.463062
451.0,334.0,3-2,2023-01-23 09:04:58.470153
468.0,330.0,3-2,2023-01-23 09:04:58.475388
482.0,325.0,3-2,2023-01-23 09:04:58.480190
486.0,308.0,3-2,2023-01-23 09:04:58.489863
526.0,320.0,3-2,2023-01-23 09:04:58.498464
540.0,319.0,3-2,2023-01-23 09:04:58.509512
557.0,324.0,3-2,2023-01-23 09:04:58.514116
583.0,334.0,3-2,2023-01-23 09:04:58.529585
593.0,338.0,3-2,2023-01-23 09:04:58.542850
607.0,348.0,3-2,2023-01-23 09:04:58.550249
622.0,362.0,3-2,2023-01-23 09:04:58.561838
627.0,368.0,3-2,2023-01-23 09:04:58.563659
642.0,378.0,3-2,2023-01-23 09:04:58.570611
653.0,394.0,3-2,2023-01-23 09:04:58.584123
659.0,402.0,3-2,2023-01-23 09:04:58.594838
671.0,417.0,3-2,2023-01-23 09:04:58.603792
681.0,434.0,3-2,2023-01-23 09:04:58.612409
690.0,448.0,3-2,2023-01-23 09:04:58.640724
